time,filter,magnitude,error
2457486.72685,OGLE-I,13.718,0.003
2457486.7451,OGLE-I,13.721,0.003
2457486.75909,OGLE-I,13.725,0.003
2457486.77314,OGLE-I,13.719,0.003
2457486.78706,OGLE-I,13.724,0.003
2457486.801,OGLE-I,13.724,0.003
2457486.815,OGLE-I,13.72,0.003
2457486.82938,OGLE-I,13.718,0.003
2457486.84367,OGLE-I,13.715,0.003
2457486.86793,OGLE-I,13.725,0.003
2457486.88226,OGLE-I,13.721,0.003
2457486.89799,OGLE-I,13.722,0.003
2457486.91305,OGLE-I,13.717,0.003
2457487.7059,OGLE-I,13.72,0.003
2457487.72208,OGLE-I,13.718,0.003
2457487.73613,OGLE-I,13.721,0.003
2457487.75053,OGLE-I,13.724,0.003
2457487.7668,OGLE-I,13.727,0.003
2457487.78301,OGLE-I,13.723,0.003
2457487.79827,OGLE-I,13.721,0.003
2457487.81232,OGLE-I,13.724,0.003
2457487.83829,OGLE-I,13.721,0.003
2457487.85287,OGLE-I,13.719,0.003
2457487.86705,OGLE-I,13.727,0.003
2457487.88148,OGLE-I,13.723,0.003
2457487.89625,OGLE-I,13.725,0.003
2457487.91111,OGLE-I,13.724,0.003
2457487.92521,OGLE-I,13.722,0.003
2457488.71508,OGLE-I,13.721,0.003
2457488.7291,OGLE-I,13.72,0.003
2457488.74371,OGLE-I,13.724,0.003
2457488.7578,OGLE-I,13.722,0.003
2457488.77221,OGLE-I,13.723,0.003
2457488.78677,OGLE-I,13.727,0.003
2457488.81345,OGLE-I,13.726,0.003
2457488.83702,OGLE-I,13.726,0.003
2457488.85141,OGLE-I,13.731,0.003
2457488.86655,OGLE-I,13.73,0.003
2457488.88131,OGLE-I,13.726,0.003
2457488.89667,OGLE-I,13.726,0.003
2457488.91123,OGLE-I,13.724,0.003
2457488.92528,OGLE-I,13.726,0.003
2457489.77269,OGLE-I,13.719,0.003
2457489.79389,OGLE-I,13.72,0.003
2457489.81543,OGLE-I,13.717,0.003
2457489.83685,OGLE-I,13.721,0.003
2457489.86351,OGLE-I,13.724,0.003
2457489.90622,OGLE-I,13.719,0.003
2457489.9194,OGLE-I,13.722,0.003
2457489.93366,OGLE-I,13.721,0.003
2457491.69976,OGLE-I,13.72,0.003
2457491.71367,OGLE-I,13.714,0.003
2457491.72767,OGLE-I,13.719,0.003
2457491.74155,OGLE-I,13.727,0.003
2457491.75582,OGLE-I,13.721,0.003
2457491.77009,OGLE-I,13.724,0.003
2457491.7842,OGLE-I,13.724,0.003
2457491.7985,OGLE-I,13.723,0.003
2457491.82226,OGLE-I,13.723,0.003
2457491.83637,OGLE-I,13.724,0.003
2457491.86062,OGLE-I,13.726,0.003
2457491.87493,OGLE-I,13.734,0.003
2457491.88999,OGLE-I,13.734,0.003
2457491.90516,OGLE-I,13.736,0.003
2457491.91933,OGLE-I,13.73,0.003
2457492.69426,OGLE-I,13.715,0.003
2457492.71031,OGLE-I,13.716,0.003
2457492.72682,OGLE-I,13.722,0.003
2457492.75542,OGLE-I,13.721,0.003
2457492.77111,OGLE-I,13.726,0.003
2457492.78692,OGLE-I,13.728,0.003
2457492.80279,OGLE-I,13.726,0.003
2457492.8452,OGLE-I,13.729,0.003
2457492.86121,OGLE-I,13.735,0.003
2457492.87797,OGLE-I,13.737,0.003
2457492.89474,OGLE-I,13.735,0.003
2457492.9192,OGLE-I,13.729,0.003
2457493.70221,OGLE-I,13.726,0.003
2457493.71784,OGLE-I,13.72,0.003
2457493.7336,OGLE-I,13.722,0.003
2457493.75726,OGLE-I,13.725,0.003
2457493.77289,OGLE-I,13.722,0.003
2457493.79859,OGLE-I,13.727,0.003
2457493.81417,OGLE-I,13.724,0.003
2457493.84746,OGLE-I,13.728,0.003
2457493.86355,OGLE-I,13.733,0.003
2457493.88038,OGLE-I,13.731,0.003
2457493.89671,OGLE-I,13.723,0.003
2457493.92034,OGLE-I,13.728,0.003
2457494.69757,OGLE-I,13.721,0.003
2457494.71333,OGLE-I,13.721,0.003
2457494.72893,OGLE-I,13.722,0.003
2457494.7536,OGLE-I,13.725,0.003
2457494.77218,OGLE-I,13.724,0.003
2457494.79779,OGLE-I,13.723,0.003
2457494.81352,OGLE-I,13.727,0.003
2457494.8476,OGLE-I,13.725,0.003
2457494.86411,OGLE-I,13.73,0.003
2457494.88084,OGLE-I,13.729,0.003
2457494.89743,OGLE-I,13.726,0.003
2457494.92145,OGLE-I,13.73,0.003
2457495.68302,OGLE-I,13.724,0.003
2457495.69873,OGLE-I,13.726,0.003
2457495.71449,OGLE-I,13.723,0.003
2457495.73835,OGLE-I,13.729,0.003
2457495.75386,OGLE-I,13.727,0.003
2457495.76961,OGLE-I,13.726,0.003
2457495.7944,OGLE-I,13.73,0.003
2457495.82738,OGLE-I,13.724,0.003
2457495.84402,OGLE-I,13.723,0.003
2457495.86034,OGLE-I,13.723,0.003
2457495.87691,OGLE-I,13.723,0.003
2457495.90214,OGLE-I,13.724,0.003
2457495.91777,OGLE-I,13.727,0.003
2457495.93332,OGLE-I,13.732,0.003
2457497.86823,OGLE-I,13.723,0.003
2457497.88571,OGLE-I,13.724,0.003
2457497.90153,OGLE-I,13.725,0.003
2457497.91732,OGLE-I,13.723,0.003
2457498.69738,OGLE-I,13.72,0.003
2457498.71312,OGLE-I,13.72,0.003
2457498.72877,OGLE-I,13.724,0.003
2457498.7446,OGLE-I,13.72,0.003
2457498.77903,OGLE-I,13.724,0.003
2457498.80528,OGLE-I,13.719,0.003
2457498.83715,OGLE-I,13.721,0.003
2457498.85332,OGLE-I,13.72,0.003
2457498.87904,OGLE-I,13.72,0.003
2457498.89517,OGLE-I,13.727,0.003
2457498.92036,OGLE-I,13.718,0.003
2457499.67864,OGLE-I,13.717,0.003
2457499.70234,OGLE-I,13.72,0.003
2457499.71844,OGLE-I,13.707,0.003
2457499.73421,OGLE-I,13.721,0.003
2457499.74977,OGLE-I,13.722,0.003
2457499.77335,OGLE-I,13.727,0.003
2457499.78976,OGLE-I,13.726,0.003
2457499.80545,OGLE-I,13.721,0.003
2457499.82112,OGLE-I,13.723,0.003
2457499.84515,OGLE-I,13.723,0.003
2457499.86143,OGLE-I,13.725,0.003
2457499.87794,OGLE-I,13.721,0.003
2457499.89397,OGLE-I,13.708,0.003
2457499.91805,OGLE-I,13.722,0.003
2457499.93364,OGLE-I,13.723,0.003
2457500.68727,OGLE-I,13.717,0.003
2457500.70286,OGLE-I,13.723,0.003
2457500.71834,OGLE-I,13.723,0.003
2457500.73398,OGLE-I,13.722,0.003
2457500.75775,OGLE-I,13.722,0.003
2457500.77341,OGLE-I,13.721,0.003
2457500.78899,OGLE-I,13.723,0.003
2457500.80474,OGLE-I,13.72,0.003
2457500.82856,OGLE-I,13.719,0.003
2457500.8445,OGLE-I,13.721,0.003
2457500.86261,OGLE-I,13.724,0.003
2457500.87902,OGLE-I,13.723,0.003
2457500.90282,OGLE-I,13.72,0.003
2457500.91836,OGLE-I,13.72,0.003
2457507.73732,OGLE-I,13.716,0.003
2457507.75128,OGLE-I,13.721,0.003
2457507.76524,OGLE-I,13.727,0.003
2457507.77971,OGLE-I,13.725,0.003
2457507.79363,OGLE-I,13.723,0.003
2457507.80763,OGLE-I,13.722,0.003
2457507.82198,OGLE-I,13.724,0.003
2457507.83663,OGLE-I,13.726,0.003
2457507.85686,OGLE-I,13.724,0.003
2457507.87093,OGLE-I,13.725,0.003
2457507.88496,OGLE-I,13.721,0.003
2457507.89922,OGLE-I,13.725,0.003
2457507.91709,OGLE-I,13.723,0.003
2457507.93217,OGLE-I,13.718,0.003
2457508.65002,OGLE-I,13.722,0.003
2457508.66414,OGLE-I,13.72,0.003
2457508.67828,OGLE-I,13.721,0.003
2457508.69242,OGLE-I,13.725,0.003
2457508.70636,OGLE-I,13.731,0.003
2457508.72039,OGLE-I,13.725,0.003
2457508.73123,OGLE-I,13.728,0.003
2457508.75913,OGLE-I,13.74,0.003
2457508.77308,OGLE-I,13.741,0.003
2457508.78722,OGLE-I,13.732,0.003
2457508.8013,OGLE-I,13.737,0.003
2457508.81547,OGLE-I,13.725,0.003
2457508.83025,OGLE-I,13.736,0.003
2457508.84531,OGLE-I,13.724,0.003
2457508.85998,OGLE-I,13.731,0.003
2457508.8745,OGLE-I,13.731,0.003
2457508.88866,OGLE-I,13.726,0.003
2457508.90402,OGLE-I,13.726,0.003
2457508.91821,OGLE-I,13.726,0.003
2457508.9321,OGLE-I,13.727,0.003
2457509.72409,OGLE-I,13.725,0.003
2457509.73859,OGLE-I,13.721,0.003
2457509.75269,OGLE-I,13.725,0.003
2457509.767,OGLE-I,13.723,0.003
2457509.78105,OGLE-I,13.722,0.003
2457509.79595,OGLE-I,13.724,0.003
2457509.81091,OGLE-I,13.721,0.003
2457509.82559,OGLE-I,13.721,0.003
2457509.8411,OGLE-I,13.726,0.003
2457509.85548,OGLE-I,13.725,0.003
2457509.86959,OGLE-I,13.726,0.003
2457509.88369,OGLE-I,13.725,0.003
2457509.89821,OGLE-I,13.725,0.003
2457509.9124,OGLE-I,13.718,0.003
2457509.92928,OGLE-I,13.721,0.003
2457511.67864,OGLE-I,13.727,0.003
2457511.69304,OGLE-I,13.716,0.003
2457511.70706,OGLE-I,13.719,0.003
2457511.72103,OGLE-I,13.725,0.003
2457511.73507,OGLE-I,13.723,0.003
2457511.74913,OGLE-I,13.723,0.003
