RA,DEC
18:05:49.6100,-28:57:20.320
18:03:09.9250,-28:45:18.400
18:04:45.0940,-28:45:33.040
18:05:32.4810,-28:50:57.660
18:05:50.3950,-28:51:45.120
18:03:06.3910,-29:19:48.860
18:05:04.7150,-29:15:46.230
18:04:48.0790,-29:23:14.510
18:03:38.3690,-29:13:44.560
18:03:28.6680,-29:08:10.110
18:03:08.1020,-29:10:18.190
18:04:50.9680,-29:07:29.740
18:04:56.2830,-29:13:21.450
18:04:33.7570,-29:04:38.910
18:05:26.0190,-29:07:17.230
18:05:01.2510,-29:40:20.420
18:05:20.3380,-29:43:54.500
18:04:26.5770,-29:32:14.810
18:05:23.5610,-29:33:32.340
18:05:52.8660,-29:29:04.890
18:05:36.9180,-29:34:20.850
18:04:14.9030,-30:00:02.090
18:05:35.4060,-29:57:49.730
18:03:21.7550,-29:54:48.340
18:03:52.0530,-29:48:15.940
18:05:18.9450,-29:53:38.880
18:08:26.2400,-29:53:07.530
18:08:48.1470,-29:51:18.460
18:07:32.7890,-29:49:27.030
18:06:31.1610,-29:50:09.290
18:06:47.0580,-29:48:26.990
18:07:11.7360,-29:59:35.790
18:06:11.5030,-29:59:11.010
18:09:02.7250,-29:42:19.070
18:09:00.2440,-29:39:48.210
18:07:49.4050,-29:41:19.890
18:07:13.8060,-29:35:47.750
18:06:40.2930,-29:45:21.420
18:08:43.9690,-29:06:51.560
18:08:00.7000,-29:04:40.960
18:07:45.1340,-29:22:19.310
18:06:17.6620,-29:18:29.250
18:07:59.5340,-28:49:39.240
18:06:58.3100,-28:46:53.760
18:06:35.2110,-28:48:32.840
18:06:22.3930,-28:48:33.840
18:06:10.5470,-28:46:55.440
18:08:57.5720,-28:55:37.470
18:07:20.1500,-29:00:03.650
18:07:19.4230,-28:57:14.980
18:04:30.5530,-26:53:07.750
18:05:08.1490,-26:50:13.890
18:05:27.4530,-26:54:52.320
18:07:18.6810,-26:46:07.050
18:08:35.8230,-26:48:52.320
18:08:33.0440,-26:54:37.840
18:06:16.9550,-26:49:37.390
18:04:30.4960,-27:12:46.050
18:05:34.7140,-27:14:03.920
18:04:18.4830,-27:07:09.940
18:04:46.0110,-26:58:37.010
18:05:31.8510,-27:01:04.280
18:03:28.3820,-27:31:53.590
18:03:57.8520,-27:31:37.160
18:04:16.8610,-27:32:38.330
18:05:07.6850,-27:30:07.270
18:05:30.4720,-27:33:37.210
18:05:16.0840,-27:33:57.420
18:03:45.6230,-27:26:24.220
18:04:23.2850,-27:28:04.510
18:04:09.0940,-27:26:40.450
18:04:16.3790,-27:20:38.530
18:04:54.4310,-27:24:03.180
18:05:12.6790,-27:28:09.860
18:05:59.9150,-27:25:57.250
18:05:44.6540,-27:28:14.710
18:05:38.4880,-27:23:36.400
18:05:20.6430,-27:26:30.530
18:03:35.3160,-27:58:44.700
18:04:55.8040,-27:56:12.110
18:03:27.8680,-27:47:39.130
18:03:30.7560,-27:46:29.320
18:03:30.7430,-27:47:51.860
18:04:16.8900,-27:48:09.950
18:05:45.1570,-27:48:24.200
18:03:30.5840,-28:17:21.020
18:03:30.4970,-28:14:28.160
18:03:51.9290,-28:12:30.810
18:04:50.1220,-28:15:45.160
18:04:50.3990,-28:14:09.900
18:04:48.4590,-28:11:59.780
18:03:32.5350,-28:06:43.180
18:03:13.4950,-28:01:54.880
18:03:24.6240,-28:05:43.180
18:03:57.4580,-28:09:18.220
18:04:43.5580,-28:09:05.570
18:05:05.9170,-28:03:20.620
18:05:46.3510,-28:07:03.710
18:08:42.6190,-28:05:18.360
18:09:01.2780,-28:05:47.350
18:06:13.5240,-28:08:19.770
18:06:13.7030,-28:10:54.890
18:08:06.2730,-28:20:28.550
18:08:08.1950,-28:11:58.350
18:06:47.9330,-28:20:54.420
18:07:53.4670,-27:46:52.130
18:06:55.4430,-27:45:50.710
18:06:08.3300,-27:45:22.570
18:06:16.1290,-27:47:17.220
18:06:39.1000,-27:42:45.660
18:08:44.7900,-27:51:13.730
18:06:35.1210,-27:53:31.170
18:06:16.1190,-27:58:36.350
18:08:32.1700,-27:23:08.490
18:08:37.9800,-27:29:09.680
18:07:51.4180,-27:27:46.990
18:07:43.9690,-27:26:12.660
18:06:54.3160,-27:28:14.710
18:07:18.2330,-27:20:33.540
18:08:27.6950,-27:39:20.020
18:08:58.5760,-27:32:18.440
18:08:33.4750,-27:30:44.120
18:08:01.1790,-27:31:16.750
18:07:57.1830,-27:33:28.730
18:07:51.8900,-27:34:55.700
18:06:43.4020,-27:37:11.960
18:06:36.5390,-27:29:46.730
18:08:26.3640,-27:02:14.170
18:08:42.8950,-27:03:24.220
18:08:31.0490,-27:01:53.230
18:08:34.9550,-26:59:38.410
18:07:56.2540,-27:07:53.040
18:07:17.3400,-27:01:21.850
18:06:44.8180,-27:02:39.920
18:08:04.1730,-27:14:29.120
18:07:01.6560,-27:12:32.700
18:06:08.6400,-27:08:56.780
18:03:47.4860,-24:54:55.660
18:07:33.7510,-24:59:23.480
18:06:34.5640,-25:01:28.410
18:08:34.1980,-25:02:53.190
18:07:33.5900,-25:04:23.330
18:05:08.0760,-25:28:54.740
18:04:57.9530,-25:27:56.090
18:05:36.1010,-25:18:35.120
18:05:56.2220,-25:40:51.810
18:05:22.4460,-25:37:38.110
18:05:55.8070,-25:41:44.390
18:03:06.2660,-25:57:50.610
18:04:16.7830,-26:04:22.540
18:04:34.0740,-26:01:59.950
18:05:43.9420,-26:01:20.590
18:04:13.2370,-26:27:53.540
18:05:27.1270,-26:28:16.680
18:08:48.0450,-26:24:45.850
18:06:12.6070,-26:22:55.210
18:08:32.4860,-26:35:00.020
18:08:36.6380,-26:30:13.010
18:08:34.8430,-26:29:22.840
18:06:27.9040,-26:29:41.060
18:08:46.2110,-25:58:57.090
18:08:07.9270,-26:13:14.250
18:08:09.0770,-26:13:24.860
18:06:39.7920,-26:13:19.690
18:08:52.2550,-25:41:13.230
18:07:45.4180,-25:37:07.870
18:07:54.6630,-25:40:00.150
18:07:06.0790,-25:42:47.940
18:08:03.6360,-25:47:00.990
18:07:44.7150,-25:49:50.720
18:08:05.5130,-25:51:25.340
18:07:17.7770,-25:52:57.230
18:08:30.2320,-25:21:49.270
18:07:41.4180,-25:23:09.300
18:08:01.9590,-25:19:32.080
18:11:10.8910,-28:38:18.370
18:11:01.9060,-28:32:28.090
18:11:34.7940,-28:40:14.050
18:10:36.3530,-28:32:12.710
18:13:29.0460,-28:29:40.500
18:12:17.9460,-28:26:50.070
18:13:15.7230,-28:35:54.490
18:12:07.5600,-28:38:40.130
18:09:25.7510,-28:58:11.370
18:09:34.0840,-28:56:04.520
18:10:49.4210,-28:53:37.460
18:11:09.0430,-28:53:41.640
18:11:24.8310,-29:02:26.070
18:09:38.9910,-28:46:33.240
18:11:27.7690,-28:49:19.520
18:11:27.5940,-28:47:26.300
18:10:00.2740,-29:24:09.020
