RA,DEC
18:38:07.9790,-23:20:39.140
18:36:06.8890,-23:37:44.590
18:33:44.0590,-23:25:09.860
18:36:02.6760,-23:55:25.300
18:33:49.7560,-23:51:46.620
18:35:26.4900,-24:20:19.230
18:34:09.2350,-24:10:23.820
18:35:42.7110,-24:14:05.560
18:33:43.0120,-24:35:07.940
18:34:16.5130,-24:32:30.300
18:38:14.3850,-24:38:00.360
18:36:48.3260,-24:37:57.520
18:39:00.6400,-24:20:21.870
18:38:35.7840,-24:15:06.420
18:38:37.8230,-24:18:21.850
18:36:35.5000,-23:27:05.300
18:38:09.5350,-23:33:59.440
17:51:21.0400,-32:03:18.090
17:51:32.5070,-32:09:07.570
17:51:01.8860,-32:01:30.330
17:53:30.6250,-31:58:18.900
17:54:08.8120,-31:58:08.810
17:56:04.9850,-32:03:00.380
17:55:23.5100,-32:09:45.910
17:54:38.8540,-32:03:56.360
17:52:53.0680,-32:27:51.430
17:53:27.4590,-32:27:49.350
17:51:57.0080,-32:19:16.320
17:52:47.1600,-32:14:53.320
17:51:35.4020,-32:52:33.510
17:53:26.1150,-32:46:11.220
17:50:53.9130,-32:37:20.530
17:51:06.4600,-32:41:06.100
17:52:55.1930,-32:42:10.560
17:53:53.0890,-32:38:38.260
17:51:06.5850,-33:11:36.620
17:51:06.2520,-33:06:29.010
17:51:39.8580,-33:10:25.340
17:51:51.1840,-33:13:48.260
17:52:04.0010,-33:12:00.220
17:52:54.2440,-33:09:11.480
17:52:51.9260,-33:09:59.960
17:51:30.6570,-33:01:32.670
17:52:45.6520,-33:03:38.520
17:53:19.4170,-32:56:26.470
17:51:00.5660,-33:26:32.610
17:50:59.9310,-33:33:37.860
17:51:28.3920,-33:34:04.560
17:53:49.1510,-33:32:07.730
17:51:07.0580,-33:22:06.580
17:51:59.5440,-33:23:24.430
17:52:40.3870,-33:20:34.300
17:53:46.1680,-33:25:24.710
17:56:48.5430,-33:21:06.980
17:57:01.1720,-33:25:15.970
17:56:01.4290,-33:20:25.890
17:55:09.7390,-33:21:34.720
17:55:08.3100,-33:33:13.800
17:56:36.3840,-33:04:02.070
17:54:59.1870,-33:01:41.620
17:55:14.2190,-33:01:02.200
17:54:24.2860,-32:57:53.730
17:56:31.3850,-33:05:49.880
17:56:53.9610,-32:38:00.350
17:55:56.3990,-32:36:05.410
17:55:30.7860,-32:37:21.650
17:56:34.3510,-32:49:29.670
17:56:34.8410,-32:49:44.790
17:55:51.8010,-32:45:37.760
17:55:39.6600,-32:47:46.980
17:55:10.6620,-32:51:30.960
17:55:14.8270,-32:54:18.720
17:55:18.9720,-32:53:39.770
17:57:00.7920,-32:16:08.660
17:56:22.4870,-32:22:46.500
17:56:22.6330,-32:22:47.360
17:54:27.2230,-32:14:56.700
17:54:32.5430,-32:14:54.990
17:54:37.1540,-32:14:14.730
17:54:32.0790,-32:19:28.910
17:56:33.0280,-32:25:26.490
17:56:05.4710,-32:28:54.940
17:51:49.8400,-30:18:43.020
17:52:05.5520,-30:19:31.620
17:52:05.4710,-30:19:31.120
17:52:31.5770,-30:22:21.450
17:52:54.0890,-30:18:37.250
17:53:40.0470,-30:20:50.270
17:53:52.6250,-30:13:11.090
17:53:54.0660,-30:15:51.830
17:56:03.3120,-30:14:18.190
17:54:51.0200,-30:10:19.250
17:54:23.5720,-30:14:41.400
17:55:28.2880,-30:26:49.000
17:55:34.4220,-30:17:30.550
17:51:26.3720,-30:38:40.000
17:51:25.3810,-30:42:53.140
17:51:38.9910,-30:43:31.450
17:52:13.4640,-30:43:58.350
17:52:25.9620,-30:48:06.710
17:52:31.2730,-30:42:12.250
17:53:38.9870,-30:47:25.880
17:51:13.6190,-30:37:26.060
17:53:04.9070,-30:38:03.650
17:53:29.0070,-30:36:37.270
17:51:35.4110,-31:05:23.150
17:51:12.8940,-31:08:10.240
17:52:33.0000,-31:06:57.610
17:52:37.9040,-31:03:48.510
17:53:06.1210,-30:53:51.000
17:53:07.4530,-30:56:55.870
17:53:45.2490,-30:55:47.790
17:53:14.1380,-30:50:11.620
17:53:48.8910,-30:53:08.220
17:51:27.7960,-31:25:34.110
17:51:37.5610,-31:28:02.280
17:52:16.8350,-31:29:25.880
17:51:43.8390,-31:26:10.350
17:52:07.8080,-31:27:54.210
17:52:55.9650,-31:27:56.730
17:53:59.5000,-31:28:44.390
17:53:16.3210,-31:23:28.990
17:53:26.4280,-31:27:42.040
17:51:31.9960,-31:15:32.030
17:51:55.7810,-31:14:14.140
17:51:45.8530,-31:15:41.170
17:52:18.8070,-31:41:49.600
17:52:35.5480,-31:50:21.390
17:53:30.3930,-31:49:25.850
17:53:37.5080,-31:35:04.360
17:57:01.9730,-31:37:56.020
17:56:32.3220,-31:40:25.290
17:55:37.7420,-31:37:08.110
17:56:00.0860,-31:37:04.430
17:54:54.5590,-31:37:09.790
17:55:30.7840,-31:34:49.440
17:55:12.1810,-31:31:57.040
17:54:24.7840,-31:33:43.520
17:57:03.3870,-31:41:32.030
17:56:01.9350,-31:43:13.410
17:56:03.2260,-31:47:36.000
17:56:59.2740,-31:14:30.840
17:56:46.9800,-31:19:22.460
17:55:47.4410,-31:15:31.320
17:55:13.1000,-31:15:30.740
17:55:10.0180,-31:16:13.940
17:55:25.2100,-31:14:46.290
17:55:01.7620,-31:13:42.180
17:55:32.4000,-31:18:34.190
17:56:52.7100,-31:26:34.880
17:55:17.0360,-31:23:11.610
17:55:10.0370,-31:27:28.340
17:54:33.3360,-31:21:42.370
17:56:52.8390,-30:56:06.840
17:56:29.0490,-30:51:19.210
17:56:14.5120,-30:58:50.680
17:56:20.8220,-30:50:12.950
17:56:18.9350,-30:51:41.970
17:55:56.3010,-30:51:17.190
17:55:21.8790,-30:58:33.090
17:55:21.1380,-30:54:59.250
17:56:29.0830,-30:59:53.210
17:55:25.4080,-31:01:12.400
17:55:34.5440,-31:01:02.710
17:54:13.0000,-31:06:06.220
17:55:49.4870,-30:31:41.970
17:57:01.5490,-30:39:00.440
17:55:52.7820,-30:38:43.420
17:55:26.7320,-30:40:36.310
17:54:13.9970,-30:47:57.770
17:54:46.6430,-30:39:08.810
17:54:29.0610,-30:39:55.100
17:54:27.7430,-30:44:18.740
17:52:11.5370,-28:35:59.110
17:52:03.7410,-28:33:50.560
17:52:24.5300,-28:33:48.100
17:53:28.4840,-28:35:44.470
17:53:39.0100,-28:36:57.950
17:52:17.6480,-28:27:41.170
17:52:38.9900,-28:31:53.430
17:55:49.5420,-28:24:54.630
17:55:49.6330,-28:24:52.020
17:55:57.4830,-28:23:48.770
17:55:49.6070,-28:24:53.400
17:55:09.2960,-28:29:17.280
17:55:09.8750,-28:26:21.790
17:54:33.7200,-28:30:05.260
17:56:50.5930,-28:36:12.150
17:56:54.5540,-28:39:15.130
17:56:18.5790,-28:42:04.250
17:55:33.6180,-28:34:35.500
17:51:02.9200,-28:59:21.810
17:51:15.8510,-29:01:53.730
17:50:58.1450,-28:56:07.420
17:52:09.3740,-28:56:18.300
17:52:06.4210,-29:01:37.330
17:52:54.3370,-28:57:43.400
17:52:40.2630,-28:59:01.370
17:51:50.4620,-28:44:09.800
17:51:52.6930,-28:44:52.890
17:52:22.0990,-28:51:18.170
17:53:17.7270,-28:44:39.750
17:53:47.7160,-28:46:34.070
17:53:15.3700,-28:53:18.390
17:51:26.2320,-29:23:08.190
17:51:31.3390,-29:21:43.190
17:51:01.1120,-29:14:39.150
17:52:14.7370,-29:15:49.940
17:52:40.1680,-29:20:57.560
17:53:01.7610,-29:14:30.310
17:53:18.6850,-29:17:17.410
17:53:22.0960,-29:21:24.240
17:50:59.0680,-29:12:22.550
17:51:50.1370,-29:06:45.850
17:53:44.3630,-29:08:19.130
17:53:27.5320,-29:09:13.040
17:51:20.3890,-29:43:44.390
17:51:57.6060,-29:37:32.480
17:52:03.2810,-29:36:02.900
17:52:13.8300,-29:40:59.300
17:52:30.9950,-29:39:00.880
17:53:54.7530,-29:40:43.870
17:53:29.2760,-29:41:41.170
17:53:25.9210,-29:43:47.450
17:51:03.5080,-29:32:27.830
17:52:12.8930,-29:26:07.110
17:53:04.6480,-29:29:47.910
17:52:44.0240,-29:31:00.950
17:52:54.4340,-29:32:05.900
17:53:17.5320,-29:33:08.690
17:53:40.6000,-29:33:18.990
17:51:01.9970,-30:01:27.170
17:51:56.4480,-29:58:37.490
17:52:51.5180,-30:02:29.430
17:53:35.6550,-30:03:15.340
17:51:00.4670,-29:54:35.050
17:52:24.8180,-29:52:58.040
17:52:57.4940,-29:53:27.520
17:52:43.9320,-29:48:42.980
17:53:05.7520,-29:53:16.200
17:53:41.1810,-29:56:34.710
17:56:45.9950,-29:51:01.920
17:56:02.4680,-29:47:52.200
17:55:53.8000,-29:51:40.590
17:54:55.7190,-29:53:51.000
17:55:25.5620,-29:49:08.170
17:55:26.8180,-29:54:50.820
17:54:55.6700,-29:53:53.960
17:54:40.2230,-29:48:12.720
17:54:44.3700,-29:53:47.530
17:54:28.6700,-29:51:18.900
17:54:16.1430,-29:49:46.870
17:56:59.2380,-29:59:08.160
17:56:58.6270,-30:05:29.880
17:55:47.5370,-30:00:05.790
17:56:10.3820,-30:04:37.300
17:54:31.8770,-30:05:22.140
17:56:56.9040,-29:27:35.950
17:56:56.7910,-29:27:36.480
17:56:55.0150,-29:31:55.210
17:56:31.5620,-29:33:51.160
17:55:38.4550,-29:34:43.340
17:54:55.0830,-29:32:59.040
17:55:33.8720,-29:28:37.910
17:56:22.6160,-29:43:39.100
17:55:43.5240,-29:42:29.330
17:56:20.7760,-29:38:25.600
17:55:53.8180,-29:38:25.920
17:55:41.9510,-29:40:34.790
17:56:18.5920,-29:42:53.160
17:55:24.4260,-29:39:12.180
17:55:16.5940,-29:36:54.000
17:55:01.5950,-29:38:40.600
17:54:40.8200,-29:42:01.920
17:54:41.9190,-29:42:16.380
17:56:29.1690,-29:12:47.360
17:55:57.1150,-29:13:35.520
17:55:49.2710,-29:06:25.810
17:56:02.8080,-29:06:19.160
17:56:19.9540,-29:12:37.120
17:55:27.6780,-29:07:26.320
17:54:13.8310,-29:06:08.980
17:54:34.4140,-29:13:11.660
17:54:18.6000,-29:04:41.420
17:55:50.3690,-29:20:18.330
17:55:45.3200,-29:21:58.610
17:55:54.9460,-29:21:02.700
17:55:02.0960,-29:17:02.960
17:55:06.0070,-29:20:32.460
17:55:15.8100,-29:22:02.500
17:55:34.8020,-29:16:59.700
17:54:39.0430,-29:23:19.580
17:55:39.7210,-28:50:46.240
17:55:18.8170,-28:52:32.040
17:56:41.5040,-28:57:13.290
17:56:48.5870,-28:55:55.580
17:55:55.2760,-29:00:00.380
17:55:27.3910,-28:55:36.710
17:54:50.1910,-29:00:33.310
17:54:28.5630,-29:02:16.190
17:52:46.6070,-26:52:49.120
17:51:09.6460,-27:09:57.990
17:53:02.9310,-28:12:19.260
17:55:42.8150,-28:18:09.130
17:56:07.2710,-27:48:47.560
17:55:32.3880,-27:37:15.600
17:54:51.0630,-27:09:02.290
17:55:59.5400,-27:16:19.180
17:57:37.9060,-32:06:19.130
18:02:19.3420,-31:55:33.890
18:00:46.4690,-31:55:02.860
18:01:43.4720,-32:08:34.850
17:59:10.2270,-32:35:40.130
17:57:41.2410,-33:06:00.860
17:57:38.8570,-33:02:43.120
17:58:49.1320,-33:01:40.880
17:57:48.1210,-33:35:39.820
17:59:25.7720,-33:33:04.720
17:59:40.1760,-33:34:06.400
18:02:54.9500,-33:24:44.490
18:02:21.7470,-33:21:27.740
18:02:12.9490,-33:23:02.510
18:00:23.5090,-33:23:47.370
18:02:52.7560,-33:00:00.890
18:01:45.9650,-33:00:54.260
18:01:33.9260,-33:01:44.960
18:00:18.6710,-32:57:49.000
18:02:56.0320,-33:09:02.980
18:00:30.0870,-33:13:54.590
18:00:36.0070,-32:43:31.000
18:03:02.9050,-32:48:32.020
18:02:22.2690,-32:52:54.580
18:01:44.3310,-32:48:03.710
18:01:22.9310,-32:48:30.170
18:01:09.9790,-32:52:56.680
18:02:30.4210,-32:20:39.680
18:02:18.3350,-32:31:25.270
18:01:49.2530,-32:26:00.480
18:00:11.7690,-32:29:17.080
17:58:51.0210,-30:20:13.220
17:57:52.9920,-30:14:12.420
17:59:45.8540,-30:17:09.630
18:02:14.8560,-30:11:02.150
18:02:24.7140,-30:25:00.450
18:01:51.9570,-30:18:46.990
18:00:16.1970,-30:26:40.500
17:57:27.2400,-30:45:16.910
17:59:00.2920,-30:37:41.650
17:59:15.1320,-30:33:18.460
17:57:52.0540,-31:05:10.540
17:58:11.0990,-31:00:06.130
17:58:34.6020,-30:59:15.130
17:59:15.9470,-30:55:59.100
17:59:59.5890,-31:26:15.370
17:57:36.3580,-31:17:30.260
17:57:46.5730,-31:14:28.540
17:58:44.9710,-31:17:04.440
17:58:42.5690,-31:42:36.900
17:57:29.0210,-31:38:52.720
17:57:29.3960,-31:37:11.070
17:59:22.8540,-31:40:34.420
18:00:42.9110,-31:45:12.570
18:01:59.4820,-31:10:55.720
18:00:34.2770,-31:19:19.190
18:00:12.8050,-31:15:53.220
18:01:55.0380,-31:30:03.120
18:01:08.8600,-30:56:02.760
18:00:15.7350,-30:50:34.810
18:02:46.5540,-30:37:02.650
18:01:29.5160,-30:28:41.140
18:00:22.0060,-30:36:02.420
17:57:30.1810,-28:32:49.790
17:58:32.0720,-28:35:09.670
17:59:10.3280,-28:38:19.120
17:59:21.0310,-28:38:41.870
17:59:26.1830,-28:41:32.280
17:58:08.2760,-28:27:50.710
17:57:50.9970,-28:28:11.800
17:58:40.5650,-28:29:35.430
18:02:32.2880,-28:28:21.340
18:02:17.3770,-28:32:29.100
18:02:42.0640,-28:41:20.060
18:02:46.6320,-28:35:23.980
18:02:56.6570,-28:38:25.890
18:02:02.9080,-28:40:07.560
18:01:30.3920,-28:36:48.230
18:01:14.8240,-28:36:23.880
18:00:40.0670,-28:37:38.490
17:57:10.1750,-28:59:17.860
17:57:11.5900,-28:54:12.340
17:57:39.2610,-28:55:21.710
17:58:30.3320,-29:00:09.340
17:58:30.4750,-28:55:32.840
17:58:31.8640,-28:58:30.780
17:58:43.1060,-28:43:54.580
17:58:42.1290,-28:52:20.760
17:58:41.6940,-28:51:59.270
17:58:12.4990,-29:21:46.130
17:58:53.5460,-29:18:59.680
17:59:41.7920,-29:22:25.350
17:57:52.7050,-29:13:03.300
17:58:46.2430,-29:06:54.470
17:58:44.6590,-29:11:00.150
17:58:54.3770,-29:07:18.620
17:57:08.3670,-29:44:06.660
17:57:31.8320,-29:43:13.390
17:57:56.6710,-29:41:52.770
17:58:05.1280,-29:38:02.190
17:58:52.5570,-29:37:16.670
17:57:35.9860,-29:32:09.610
17:57:49.2420,-29:31:21.000
17:58:25.0400,-29:30:51.700
17:58:12.3730,-29:32:03.400
17:58:30.2180,-29:28:43.150
17:59:15.0230,-29:28:22.280
17:59:51.6550,-29:26:24.830
17:59:49.9570,-29:31:54.990
17:56:58.2160,-30:05:29.180
17:57:18.3800,-30:00:37.560
17:59:12.1130,-29:59:20.880
17:58:39.8810,-30:04:33.110
17:58:42.8460,-30:01:06.090
17:59:42.4490,-30:02:01.770
17:59:15.6290,-30:00:35.180
17:58:43.6900,-29:48:57.090
17:59:07.5420,-29:49:58.470
17:58:58.2970,-29:51:09.220
17:59:17.5170,-29:50:25.160
17:59:40.8140,-29:50:15.550
18:02:54.2160,-29:48:53.970
18:02:23.6910,-29:47:24.300
18:02:34.2800,-29:48:01.930
18:01:47.7050,-29:53:41.050
18:01:59.7600,-29:52:48.900
18:02:13.6220,-29:52:00.790
18:01:42.7830,-29:54:03.260
18:01:00.7720,-29:48:47.660
18:01:55.3450,-29:59:15.850
18:01:23.7300,-30:00:52.110
18:00:51.5830,-29:56:53.060
18:00:28.8810,-29:57:47.360
18:00:42.1540,-30:02:04.960
18:00:26.8910,-29:58:54.160
18:02:27.4010,-29:30:00.380
18:02:50.9520,-29:33:16.710
18:02:15.5620,-29:28:54.820
18:02:18.5140,-29:30:19.960
18:01:54.6350,-29:33:03.080
18:01:10.1230,-29:30:11.000
18:00:33.1600,-29:34:23.050
18:00:27.5890,-29:34:52.090
18:02:49.0390,-29:37:59.110
18:02:41.8600,-29:43:51.190
18:02:53.9790,-29:37:14.230
18:02:52.8750,-29:36:08.530
18:01:02.8230,-29:36:02.450
18:01:19.8900,-29:38:50.680
18:00:32.2280,-29:42:43.530
18:02:17.7060,-29:10:52.530
18:01:51.5440,-29:08:04.650
18:02:20.6920,-29:13:46.650
18:02:12.8020,-29:08:47.240
18:01:41.3780,-29:04:45.320
18:01:24.6620,-29:11:18.950
18:01:23.7880,-29:12:44.810
18:00:11.1810,-29:09:38.730
18:03:06.4580,-29:19:49.050
18:02:29.9070,-29:22:39.610
18:01:54.6580,-29:17:21.610
18:02:20.1480,-29:17:45.980
18:00:57.4970,-29:22:05.310
18:00:19.0260,-29:17:57.990
18:01:04.5450,-28:52:31.570
18:01:33.9380,-28:49:43.120
18:00:54.5990,-28:49:24.900
18:01:17.6200,-28:47:43.930
18:00:07.1650,-28:52:28.990
18:02:55.2450,-28:56:12.980
18:02:44.2560,-29:00:46.540
18:02:12.3960,-29:01:59.080
18:01:39.6910,-29:01:18.380
18:02:17.5920,-29:01:20.540
18:00:50.3850,-28:58:45.710
18:01:34.4940,-28:54:25.900
18:01:23.2370,-28:56:30.130
18:01:18.7720,-28:59:53.230
18:00:39.1930,-28:56:00.090
